Date,SPX,UKX,DAX,GBPUSD,EURUSD
10/28/1999,1342.44,6149.1,5478.89,1.6388,1.0511
10/29/1999,1362.93,6255.7,5525.4,1.6448,1.0549
11/1/1999,1354.12,6284,5524.92,1.6427,1.0513
11/2/1999,1347.74,6252,5546.95,1.6462,1.0527
11/3/1999,1354.93,6280.8,5560.87,1.6429,1.0489
11/4/1999,1362.64,6331.3,5635.62,1.6223,1.0432
11/5/1999,1370.23,6356.6,5658.1,1.6195,1.0421
11/8/1999,1377.01,6374.3,5647.94,1.6199,1.0384
11/9/1999,1365.28,6435.5,5694.73,1.6227,1.0404
11/10/1999,1373.46,6447,5742.42,1.6289,1.0447
11/11/1999,1381.46,6551.4,5802.36,1.6222,1.0406
11/12/1999,1396.06,6511.6,5791.05,1.6152,1.0318
11/15/1999,1394.39,6533.6,5859.29,1.6214,1.0333
11/16/1999,1420.07,6583,5909.52,1.6163,1.0303
11/17/1999,1410.71,6555.7,5870.17,1.6236,1.0416
11/18/1999,1424.94,6550.8,5950.05,1.6143,1.0297
11/19/1999,1422,6482.3,5955.97,1.6199,1.03
11/22/1999,1420.94,6442,5819.89,1.6204,1.0321
11/23/1999,1404.64,6534.2,5814.74,1.6248,1.0279
11/24/1999,1417.08,6561.8,5818.73,1.6103,1.0185
11/26/1999,1416.62,6684.8,5958.07,1.6073,1.0163
11/29/1999,1407.83,6692.3,5888.88,1.6064,1.0104
11/30/1999,1388.91,6597.2,5896.04,1.5981,1.0093
12/1/1999,1397.72,6646,5933.84,1.6006,1.0087
12/2/1999,1409.04,6653.7,5937.2,1.5999,1.0013
12/3/1999,1433.3,6742.2,6119.17,1.6006,1.0018
12/6/1999,1423.33,6694,6142.19,1.6197,1.0228
12/7/1999,1409.17,6660.9,6158.77,1.6242,1.0254
12/8/1999,1403.88,6619.4,6115.59,1.6282,1.0278
12/9/1999,1408.11,6680.8,6118.06,1.624,1.0214
12/10/1999,1417.04,6739.5,6097.9,1.6215,1.0134
12/13/1999,1415.22,6710.7,6127.2,1.6243,1.0144
12/14/1999,1403.17,6702.1,6187.99,1.6113,1.0058
12/15/1999,1413.32,6633.8,6232.75,1.606,1.0071
12/16/1999,1418.78,6672,6341.29,1.6111,1.017
12/17/1999,1421.03,6724.6,6353.9,1.6044,1.0088
